nproc,serial time,simple parallel,cannons
4,0.000019,0.000263,0.000064
4,0.052169,0.029990,0.026046
4,0.060902,0.339667,0.026622
4,0.080580,0.035188,0.031380
16,0.000019,0.013208,0.013445
16,0.052801,0.081755,0.012509
16,0.052640,0.018942,0.017713
16,0.086429,0.034523,0.021418
64,0.000019,0.007086,0.000639
64,0.208738,0.052267,0.017862
64,0.234883,0.819863,0.021970
64,0.208326,0.034174,0.016017
256,0.000019,0.026700,0.020441
256,0.857052,0.241945,0.041161
256,0.842943,0.275375,0.052312
256,0.872737,0.264941,0.040853
